Arch,Type,Param,ParamStr,Reach,Mean_td,Std_td,Threshold_Value
ResNet,Relative,0.5,Alpha=0.5,0.988,0.024002313475997683,0.07899608045148654,
ResNet,Relative,0.6,Alpha=0.6,0.976,0.028103044496487116,0.08750920089711184,
ResNet,Relative,0.7,Alpha=0.7,0.97,0.03181148748159057,0.09354295634541158,
ResNet,Relative,0.8,Alpha=0.8,0.96,0.03601190476190476,0.10361204389736538,
ResNet,Relative,0.9,Alpha=0.9,0.95,0.035789473684210524,0.09966374581945474,
ResNet,Relative,0.95,Alpha=0.95,0.948,0.03737191078963231,0.10198266615846072,
ResNet,Absolute,25.0,P25,1.0,0.018285714285714284,0.07165905670718296,0.014763712882995605
ResNet,Absolute,40.0,P40,0.992,0.025921658986175114,0.08054429175579911,0.02673485316336155
ResNet,Absolute,50.0,P50,0.986,0.0312952767313822,0.0849528554869258,0.03439551591873169
ResNet,Absolute,60.0,P60,0.962,0.04187704187704187,0.09999519689499493,0.04556579887866974
ResNet,Absolute,75.0,P75,0.912,0.05513784461152881,0.10494192540874354,0.0673818290233612
ResNet,Absolute,80.0,P80,0.882,0.05733722060252672,0.10089129926721531,0.07535133510828018
ViT,Relative,0.5,Alpha=0.5,0.636,0.20611778158947971,0.2741661999746331,
ViT,Relative,0.6,Alpha=0.6,0.558,0.2130987292277615,0.283900991817353,
ViT,Relative,0.7,Alpha=0.7,0.504,0.21608946608946608,0.28236845848022835,
ViT,Relative,0.8,Alpha=0.8,0.462,0.2377016922471468,0.289013275876359,
ViT,Relative,0.9,Alpha=0.9,0.424,0.22512864493996573,0.2864529303096882,
ViT,Relative,0.95,Alpha=0.95,0.406,0.2315270935960591,0.2822133959897765,
ViT,Absolute,25.0,P25,0.838,0.27706660880885225,0.279373891265755,0.19536304473876953
ViT,Absolute,40.0,P40,0.442,0.38790621143562315,0.2902790939542616,0.342151939868927
ViT,Absolute,50.0,P50,0.226,0.4899436846339501,0.250044573900564,0.43157529830932617
ViT,Absolute,60.0,P60,0.068,0.5748663101604278,0.19931895253516457,0.5856644511222839
ViT,Absolute,75.0,P75,0.008,0.7045454545454546,0.11809437324333258,0.8556935787200928
ViT,Absolute,80.0,P80,0.002,0.8181818181818182,0.0,0.9922668933868408
