alpha,reach_res,reach_vit,score
0.5,0.988,0.636,-9.08
0.51,0.988,0.628,-9.104
0.52,0.988,0.616,-9.14
0.53,0.988,0.612,-9.152
0.54,0.986,0.606,-9.168
0.55,0.984,0.6,-9.184
0.56,0.984,0.594,-9.202
0.5700000000000001,0.982,0.59,-9.212
0.58,0.978,0.574,-9.256
0.59,0.976,0.564,-9.284
0.6,0.976,0.558,-9.302
0.61,0.974,0.554,-9.312
0.62,0.974,0.548,-9.33
0.63,0.97,0.546,-9.332
0.64,0.97,0.542,-9.344
0.65,0.97,0.528,-9.386
0.66,0.97,0.526,-9.392
0.67,0.97,0.52,-9.41
0.6799999999999999,0.97,0.512,-9.434
0.69,0.97,0.512,-9.434
0.7,0.97,0.504,-9.458
0.71,0.97,0.498,-9.475999999999999
0.72,0.968,0.49,-9.498
0.73,0.968,0.478,-9.534
0.74,0.968,0.476,-9.54
0.75,0.968,0.472,-9.552
0.76,0.968,0.468,-9.564
0.77,0.968,0.466,-9.57
0.78,0.966,0.466,-9.568
0.79,0.964,0.464,-9.572
0.8,0.96,0.462,-9.574
0.81,0.96,0.454,-9.598
0.8200000000000001,0.96,0.45,-9.61
0.8300000000000001,0.96,0.448,-9.616
0.8400000000000001,0.96,0.446,-9.622
0.8500000000000001,0.958,0.444,-9.626
0.86,0.956,0.442,-9.63
0.87,0.954,0.438,-9.64
0.88,0.952,0.43,-9.662
0.89,0.95,0.43,0.33999999999999986
0.9,0.95,0.424,0.32199999999999984
0.91,0.95,0.42,0.30999999999999983
0.9199999999999999,0.948,0.414,0.2939999999999998
0.9299999999999999,0.948,0.412,0.2879999999999998
0.94,0.948,0.41,0.2819999999999998
0.95,0.948,0.406,0.27000000000000024
0.96,0.948,0.396,0.24
0.97,0.948,0.392,0.22799999999999998
0.98,0.948,0.39,0.2220000000000002
